sample_id,clim_precip,clim_temp,soil_texture,topo_elevation,topo_slope
265,0.1093518418946169,289.44295401731324,8,124,4.6273675
266,0.120066138673691,290.5822674784963,8,61,0.92740995
267,0.1264914627281424,291.1805706638104,8,53,7.2020116
268,0.1113016751611349,289.4280956345292,8,87,2.1784976
269,0.1123377291982086,290.13314748597384,8,66,4.544207
270,0.1100092948854001,289.19031942416075,7,79,0.92740995
271,0.1166146736498699,290.37738413734826,7,62,2.925785
272,0.1100997809707623,289.8943315292857,8,225,2.7802885
273,0.1231535935106565,290.9996187315772,8,45,3.827221
274,0.1111071390683886,290.00605523900106,7,65,2.4594135
275,0.1233650413430438,291.2165542062662,7,36,1.1124691
276,0.1086477106368007,289.1536360756138,8,108,3.0061636
277,0.125686500282898,291.0234160124233,8,52,0.0
278,0.112847511853453,290.1574454595836,8,70,2.7802885
279,0.1186511520138052,290.50600697451443,8,55,1.1302031
280,0.1252293338948095,291.0011013104293,8,52,1.1180077
281,0.1096526442449623,289.6019792492776,8,92,2.9400852
282,0.1179097659645438,290.45544496485894,8,66,1.1311473
283,0.1255398006667691,291.23426964774046,1,40,2.8944595
284,0.1191072792828615,290.5389112712351,7,56,0.92740995
285,0.1220859893372234,290.83045610218653,8,52,0.0
286,0.1209948942998996,290.6311596525922,8,54,2.253138
287,0.1243011591065353,290.88875797303695,8,58,1.454295
288,0.118354124435008,290.48539647160953,8,65,0.92740995
289,0.1106177403677473,289.34238078929025,8,73,1.4729435
290,0.1224080640189852,290.7748190888961,7,47,2.9116063
291,0.1223800496375073,290.7090969509781,8,48,1.4579856
292,0.1127416234042566,289.9821974298931,7,64,0.92740995
293,0.1085065631880081,289.0338594106622,8,97,8.122954
294,0.1103100768763121,289.9294706519983,8,187,2.176142
295,0.1212739100434933,290.66343531861514,7,65,1.1253912
296,0.1188244095214118,290.5175501213704,7,54,3.8587644
297,0.1251252565572624,290.9588938279669,8,54,1.8543341
298,0.1252970683669809,291.0496571265421,8,50,1.4516009
299,0.1102090670321279,289.7636181728451,7,67,0.92740995
300,0.11886810469105,290.5214089747297,4,56,4.3772635
301,0.1209880781947774,290.6439645470384,8,61,1.8543341
302,0.1250892733510048,290.97238160030224,8,51,2.4207265
303,0.1187485692157355,290.51894531442133,7,58,2.2593825
304,0.1113357808462991,290.04214227600994,8,137,2.933429
305,0.1219311382214841,290.7905030684205,7,53,1.4565026
306,0.1227779655362286,290.7015342844881,6,61,1.4579769
307,0.1169007217071618,290.3935509252685,8,63,3.5831842
308,0.1186956299257359,290.485875460199,8,71,0.92740995
309,0.1124677593691913,289.9045591828966,7,63,1.1409016
310,0.1080847569709996,289.0626127398512,8,158,2.4703345
311,0.1217657541092268,290.6699944739105,8,51,1.1260746
312,0.1125823275874938,290.1498991296679,8,67,2.1747954
313,0.1103790683040494,289.9713475110177,8,167,5.0317936
314,0.1218752522832376,290.775872783902,7,51,1.4568098
315,0.1086508456853424,289.14395430975736,8,92,5.9959245
316,0.1194128302255461,290.5398237765715,8,55,1.1290948
317,0.1254909407242329,291.10773486103096,8,47,0.0
318,0.1219266173816056,290.8301080110858,8,51,1.8543341
319,0.1240057428635857,291.4326860987103,4,37,4.757147
320,0.1166814005494571,290.37919541822896,8,64,1.4636979
321,0.1231382664694126,291.17865576917166,8,41,2.994284
322,0.1264067408457917,291.22858313576904,8,49,5.6566772
323,0.1138987743013301,290.2185205770535,8,111,4.6273675
